Description,TotalSalesDollars,ProfitMargin
Ciro Rosso Clsc Librandi Cl,77.94,19.55350269438029
Clan MacGregor Scotch,323.73000000000013,64.4518580298397
Claude Riffault Chass Sancer,890.6700000000001,77.47313819933309
Clos Amador Rose Tendre Cava,497.5900000000001,5.464338109688721
Clos LaChance Meritage,399.60000000000014,91.4914914914915
Clos Rochette Faiveley 09,559.7200000000001,14.2642749946402
Clos du Bois Chard Calcaire,516.5300000000001,82.7386599035874
Coastal Vines Cab Svgn Cal,286.59,23.9610593530828
Cocchi Americano,759.6200000000002,3.4846370553698076
Cocchi Vermouth di Torino Sw,37.98,35.07109004739336
Cocci Grifoni Tellus Red,645.62,59.387875220718065
Colby Red,815.0400000000001,31.44876325088338
Colimoro Montepul D'Abruzzo,131.88,31.028207461328485
Collezione Chianti,179.64000000000001,35.07014028056112
Collezione Monte d'Abruzzo,588.82,34.66933867735472
Columbia Crest Gr Ests Syrah,938.4100000000002,34.298440979955465
Columbia Crest H3 Svgn Bl,519.0400000000001,47.78051787916154
Columbia Crest Two Vines Rsl,630.9100000000001,21.483104639214922
Columbia Crest Two Vn Shiraz,226.70000000000005,51.61887957653287
Columbia Crest Walter Clore,500.79,61.99604624692986
Columbia Winery Merlot,503.64,63.4024303073624
Comoloco Monastrell Jumilla,269.7,17.24137931034482
Compilation Cab Svgn,658.8000000000001,35.15482695810566
Concannon Crimson & Clover,311.76,32.87143956889915
Concannon Glen Ellen Wh Zin,15.95,83.44827586206897
Concannon Irish Whiskey,263.88,21.873578899499773
Conch Republic Dark Rum,224.82000000000002,51.69468908460102
Conservancy Concannon Chard,77.94,1.963048498845267
Conti Zecca Primitivo,520.8400000000001,34.29844097995547
Contos de Valpiedra Rioja,199.9,32.86643321660831
Cooks Grand Reserve,285.64000000000004,13.457498949726945
Copain Wentzel Pnt Nr,839.86,90.66272950253614
Cormons Schioppettino,363.72,16.243264049268678
Coronet VSQ,181.85999999999999,32.4975255691191
Cortijo Rosado Rioja,237.83,69.05352562754909
Cortijo Tinto Rioja,195.27,35.45347467608952
Coruba Rum,179.88,24.216144096064042
Corzo Silver Tequila,699.86,25.718000743005742
Cosentino The Zin,629.5800000000002,41.275135804822284
Coste di Brenta Cerasuolo,186.83,2.62805759246375
Courvoisier Rose,591.6800000000001,93.15508382909681
Couvent des Thorins Moulin,649.7500000000001,97.31589072720276
Crane Lake Cab Svgn Cal,733.7500000000002,17.34333057845437
Crane Lake Chard Cal,943.95,17.775305895439374
Crane Lake Pnt Grigio Cal,539.4,33.81535038932147
Creme Yvette Liqueur,47.98,61.83826594414339
Creta Olympia Red,23.759999999999998,35.35353535353535
Creta Olympia White,431.28,56.3717306622148
Cristobal Pie Palo Viognier,359.7,40.867389491242704
Cristobal Pie de Palo Malbec,431.64,34.195162635529606
Croft Reserve Tawny,719.6400000000002,17.542104385526123
Croft Tawny Porto,191.84,0.04170141784821336
Crop Meyer Lemon Vodka,173.94,20.627802690582957
Crossbarn Cab Svgn,439.89,34.208552138034506
Crown Royal Apple,27.859999999999996,89.80617372577171
Cruz Garcia Real Sangria Rd,733.3700000000007,21.724368327038256
Cruzan Est Single Barrel Rum,179.94,21.873957985995325
Cruzan Strawberry Rum,593.4600000000002,13.144946584437045
Culpeo Malbec,281.25000000000006,40.35200000000002
Culpeo Pnt Nr,497.52,36.6136034732272
Cupcake Chianti,587.1600000000003,92.21677225969071
Cupcake Petit Sirah Cal,536.8700000000002,35.22454225417702
Cusumano Merlot,307.78000000000003,31.52251608291638
Cutler Creek Merlot,144.01999999999998,18.01138730731842
Cutler Creek Wh Znfdl,106.12000000000005,14.172634753109728
D Bosler Pnt Nr Casablanca,854.4300000000001,32.727081212036104
DK Burst Blustery Pmnt Trav,472.5700000000002,16.101318323211412
Dad's Hat Rye Whiskey,538.89,81.85158381116739
Dalton Canaan Red,109.89,76.52197652197653
David Stone Pnt Nr,53.88,30.957683741648108
De Martino Cab Svgn Estate,13.99,34.66761972837741
De Martino Svgn Bl Organic,167.88,31.52251608291637
De Villaine Bouzeron Aligot,824.75,2.050318278266151
DeKuyper Buttershots Trav,175.84,95.93949044585987
DeKuyper Cactus Juice,241.77999999999997,41.00835470262221
DeKuyper Cherry Brandy,519.4800000000002,25.259875259875297
DeKuyper Coffee Brandy,659.3400000000001,17.40528407195077
